"Frequency","Kanji","Onyomi","Kunyomi","Meaning_english","Njlpt","Schoolstd"
"307","土","ト, ド","つち","soil, earth, ground, Turkey","5","小学1年"
"308","与","ヨ","ともに, くみ.する, あずか.る, あた.える","bestow, participate in, give, award, impart, provide, cause, gift, godsend","2","中学1年"
"309","急","キュウ","いそ.ぎ, いそ.ぐ","hurry, emergency, sudden, steep","4","小学3年"
"310","止","シ","-さ.し, -さ.す, よ.す, -や.む, や.む, や.める, とど.まる, とど.め, とど.める, -ど.め, -と.める, と.める, -ど.まり, と.まる","stop, halt","4","小学2年"
"311","送","ソウ","おく.る","escort, send","4","小学3年"
"312","援","エン","","abet, help, save","1","中学1年"
"313","供","グ, クウ, ク, キョウ","-ども, とも, そな.える","submit, offer, present, serve (meal); accompany","2","小学6年"
"314","可","コク, カ","-べ.し, -べ.き","can, possible, mustn't, should not, do not","2","小学5年"
"315","役","エキ, ヤク","","duty, war, campaign, drafted labor, office, service, role","3","小学3年"
"316","構","コウ","かま.う, かま.える","posture, build, pretend","2","小学5年"
"317","木","モク, ボク","こ-, き","tree, wood","5","小学1年"
"318","割","カツ","さ.く, わ.れる, わ.り, わり, わ.る","proportion, comparatively, divide, cut, separate, split","2","小学6年"
"319","聞","モン, ブン","き.こえる, き.く","hear, ask, listen","5","小学2年"
"320","身","シン","み","somebody, person, one's station in life","3","小学3年"
"321","費","ヒ","つい.える, つい.やす","expense, cost, spend, consume, waste","3","小学4年"
"322","付","フ","-づき, -づ.き, -つき, -つ.き, つ.き, -づ.く, つ.く, -づけ, -づ.け, -つ.け, つ.け-, つ.け, -づ.ける, -つ.ける, つ.ける","adhere, attach, refer to, append","2","小学4年"
"323","施","セ, シ","ほどこ.す","alms, apply bandages, administer first-aid","1","中学2年"
"324","切","サイ, セツ","-ぎ.れ, -き.れ, き.れ, -き.れる, き.れる, -ぎ.り, -き.り, き.り, -き.る, き.る","cut, cutoff, be sharp","4","小学2年"
"325","由","ユイ, ユウ, ユ","よ.る, よし","wherefore, a reason","3","小学3年"
"326","説","ゼイ, セツ","と.く","rumor, opinion, theory","2","小学4年"
"327","転","テン","くる.めく, うつ.る, うたた, まろ.ぶ, ころ.ぶ, ころ.がす, ころ.げる, ころ.がる","revolve, turn around, change","4","小学3年"
"328","食","ジキ, ショク","は.む, た.べる, く.らう, く.う","eat, food","5","小学2年"
"329","比","ヒ","くら.べる","compare, race, ratio, Philipines","2","小学5年"
"330","難","ナン","-にく.い, むつか.しい, むづか.しい, むずか.しい, -がた.い, かた.い","difficult, impossible, trouble, accident, defect","2","小学6年"
"331","防","ボウ","ふせ.ぐ","ward off, defend, protect, resist","3","小学5年"
"332","補","ホ","おぎな.う","supplement, supply, make good, offset, compensate, assistant, learner","2","小学6年"
"333","車","シャ","くるま","car","5","小学1年"
"334","優","ウ, ユウ","まさ.る, すぐ.れる, やさ.しい","tenderness, excel, surpass, actor, superiority, gentleness","2","小学6年"
"335","夫","ブ, フウ, フ","そ.れ, おっと","husband, man","2","小学4年"
"336","研","ケン","と.ぐ","polish, study of, sharpen","4","小学3年"
"337","収","シュウ","おさ.まる, おさ.める","income, obtain, reap, pay, supply, store","2","小学6年"
"338","断","ダン","さだ.める, ことわ.る, た.つ","severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting","3","小学5年"
"339","井","ショウ, セイ","い","well, well crib, town, community","1","中学1年"
"340","何","カ","なん-, なに-, なん, なに","what","5","小学2年"
"341","南","ナ, ナン","みなみ","south","5","小学2年"
"342","石","コク, シャク, セキ","いし","stone","3","小学1年"
"343","足","ソク","た.す, た.る, た.りる, あし","leg, foot, be sufficient, counter for pairs of footwear","4","小学1年"
"344","違","イ","たが.える, たが.う, -ちが.える, ちが.える, ちが.い, ちが.う","difference, differ","2","中学1年"
"345","消","ショウ","け.す, き.える","extinguish, blow out, turn off, neutralize, cancel","3","小学3年"
"346","境","ケイ, キョウ","さかい","boundary, border, region","2","小学5年"
"347","神","ジン, シン","こう-, かん-, かみ","gods, mind, soul","3","小学3年"
"348","番","バン","つが.い","turn, number in a series","3","小学2年"
"349","規","キ","","standard, measure","2","小学5年"
"350","術","ジュツ","すべ","art, technique, skill, means, trick, resources, magic","3","小学5年"
"351","護","ゴ","まも.る","safeguard, protect","1","小学5年"
"352","展","テン","","unfold, expand","1","小学6年"
"353","態","タイ","わざ.と","attitude, condition, figure, appearance, voice (of verbs)","1","小学5年"
"354","導","ドウ","みちび.く","guidance, leading, conduct, usher","3","小学5年"
"355","鮮","セン","あざ.やか","fresh, vivid, clear, brilliant, Korea","1","中学1年"
"356","備","ビ","つぶさ.に, そな.わる, そな.える","equip, provision, preparation","2","小学5年"
"357","宅","タク","","home, house, residence, our house, my husband","2","小学6年"
"358","害","ガイ","","harm, injury","2","小学4年"
"359","配","ハイ","くば.る","distribute, spouse, exile, rationing","3","小学3年"
"360","副","フク","","vice-, duplicate, copy","2","小学4年"
"361","算","サン","そろ","calculate, divining, number, abacus, probability","3","小学2年"
"362","視","シ","み.る","inspection, regard as, see, look at","1","小学6年"
"363","条","デキ, チョウ, ジョウ","すじ, えだ","article, clause, item, stripe, streak","1","小学5年"
"364","幹","カン","みき","tree trunk","1","小学5年"
"365","独","トク, ドク","ひと.り","single, alone, spontaneously, Germany","1","小学5年"
"366","警","ケイ","いまし.める","admonish, commandment","2","小学6年"
"367","宮","クウ, ク, グウ, キュウ","みや","Shinto shrine, constellations, palace, princess","1","小学3年"
"368","究","ク, キュウ","きわ.める","research, study","3","小学3年"
"369","育","イク","はぐく.む, そだ.てる, そだ.ち, そだ.つ","bring up, grow up, raise, rear","3","小学3年"
"370","席","セキ","むしろ","seat, mat, occasion, place","2","小学4年"
"371","輸","シュ, ユ","","transport, send, be inferior","2","小学5年"
"372","訪","ホウ","と.う, たず.ねる, おとず.れる","call on, visit, look up, offer sympathy","2","小学6年"
"373","楽","ゴウ, ラク, ガク","この.む, たの.しむ, たの.しい","music, comfort, ease","4","小学2年"
"374","起","キ","た.つ, おこ.す, お.こす, お.こる, お.きる","rouse, wake up, get up","4","小学3年"
"375","万","バン, マン","よろず","ten thousand","5","小学2年"
"376","着","ジャク, チャク","つ.ける, つ.く, -き.せ, き.せる, -ぎ, き.る","don, arrive, wear, counter for suits of clothing","4","小学3年"
"377","乗","ショウ, ジョウ","の.せる, -の.り, の.る","ride, power, multiplication, record, counter for vehicles, board, mount, join","3","小学3年"
"378","店","テン","たな, みせ","store, shop","4","小学2年"
"379","述","ジュツ","の.べる","mention, state, speak, relate","2","小学5年"
"380","残","サン, ザン","のこ.り, そこな.う, のこ.す, のこ.る","remainder, leftover, balance","3","小学4年"
"381","想","ソ, ソウ","おも.う","concept, think, idea, thought","3","小学3年"
"382","線","セン","すじ","line, track","3","小学2年"
"383","率","シュツ, リツ, ソツ","ひき.いる","ratio, rate, proportion, %, coefficient, factor","1","小学5年"
"384","病","ヘイ, ビョウ","やまい, -や.み, や.む","ill, sick","4","小学3年"
"385","農","ノウ","","agriculture, farmers","3","小学3年"
"386","州","ス, シュウ","す","state, province","3","小学3年"
"387","武","ム, ブ","たけ.し","warrior, military, chivalry, arms","2","小学5年"
"388","声","ショウ, セイ","こわ-, こえ","voice","3","小学2年"
"389","質","チ, シチ, シツ","わりふ, もと, ただ.す, たち","substance, quality, matter, temperament","4","小学5年"
"390","念","ネン","","wish, sense, idea, thought, feeling, desire, attention","2","小学4年"
"391","待","タイ","-ま.ち, ま.つ","wait, depend on","4","小学3年"
"392","試","シ","ため.す, こころ.みる","test, try, attempt, experiment, ordeal","3","小学4年"
"393","族","ゾク","","tribe, family","4","小学3年"
"394","象","ゾウ, ショウ","かたど.る","elephant, pattern after, imitate, image, shape, sign (of the times)","2","小学4年"
"395","銀","ギン","しろがね","silver","4","小学3年"
"396","域","イキ","","range, region, limits, stage, level","2","小学6年"
"397","助","ジョ","すけ, す.ける, たす.かる, たす.ける","help, rescue, assist","3","小学3年"
"398","労","ロウ","ねぎら.う, つか.れる, ねぎら, いた.ずき, いたわ.る, ろう.する","labor, thank for, reward for, toil, trouble","2","小学4年"
"399","例","レイ","たと.える","example, custom, usage, precedent","3","小学4年"
"400","衛","エ, エイ","","defense, protection","1","小学5年"
"401","然","ネン, ゼン","さ, しか.し, しか.り, しか","sort of thing, so, if so, in that case, well","3","小学4年"
"402","早","サッ, ソウ","さ-, はや.める, はや.まる, はや-, はや, はや.い","early, fast","4","小学1年"
"403","張","チョウ","-ば.り, -は.り, は.る","lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)","1","小学5年"
"404","映","エイ","-ば.え, は.える, うつ.す, うつ.る","reflect, reflection, projection","4","小学6年"
"405","限","ゲン","-かぎ.り, かぎ.り, かぎ.る","limit, restrict, to best of ability","2","小学5年"
"406","親","シン","した.しむ, した.しい, おや-, おや","parent, intimacy, relative, familiarity, dealer (cards)","4","小学2年"
"407","額","ガク","ひたい","forehead, tablet, plaque, framed picture, sum, amount, volume","3","小学5年"
"408","監","カン","","oversee, official, govt office, rule, administer","1","中学1年"
"409","環","カン","わ","ring, circle, link, wheel","1","中学1年"
"410","験","ゲン, ケン","ためし, ため.す, しるし, あかし","verification, effect, testing","3","小学4年"
"411","追","ツイ","お.う","chase, drive away, follow, pursue, meanwhile","3","小学3年"
"412","審","シン","つぶさ.に, つまび.らか","hearing, judge, trial","1","中学2年"
"413","商","ショウ","あきな.う","make a deal, selling, dealing in, merchant","3","小学3年"
"414","葉","ヨウ","は","leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece","3","小学3年"
"415","義","ギ","","righteousness, justice, morality, honor, loyalty, meaning","1","小学5年"
"416","伝","テン, デン","つて, -づた.い, つだ.う, つた.う, つた.える, つた.わる","transmit, go along, walk along, follow, report, communicate, legend, tradition","3","小学4年"
"417","働","リョク, ロク, リキ, リュク, ドウ","はたら.く","work, (kokuji)","2","小学4年"
"418","形","ギョウ, ケイ","なり, かたち, -がた, かた","shape, form, style","3","小学2年"
"419","景","ケイ","","scenery, view","2","小学4年"
"420","落","ラク","お.とす, お.ち, お.ちる","fall, drop, come down","3","小学3年"
"421","欧","オウ","は.く, うた.う","Europe","2","中学2年"
"422","担","タン","にな.う, かつ.ぐ","shouldering, carry, raise, bear","2","小学6年"
"423","好","コウ","い.い, よ.い, す.く, この.む","fond, pleasing, like something","2","小学4年"
"424","退","タイ","ど.く, の.ける, の.く, ひ.く, しりぞ.ける, しりぞ.く","retreat, withdraw, retire, resign, repel, expel, reject","3","小学5年"
"425","準","ジュン","みずもり, ひと.しい, のり, なぞら.える, じゅん.ずる, じゅん.じる","semi-, correspond to, proportionate to, conform, imitate","3","小学5年"
"426","賞","ショウ","ほ.める","prize, reward, praise","2","小学4年"
"427","訴","ソ","うった.える","accusation, sue, complain of pain, appeal to","1","中学1年"
"428","辺","ヘン","-べ, ほと.り, あた.り","environs, boundary, border, vicinity","3","小学4年"
"429","造","ゾウ","-づく.り, つく.り, つく.る","create, make, structure, physique","2","小学5年"
"430","英","エイ","はなぶさ","England, English","4","小学4年"
"431","被","ヒ","かぶ.せる, かぶ.る, おお.う, こうむ.る","incur, cover, veil, brood over, shelter, wear, put on, be exposed (film); receiving","2","中学1年"
"432","株","シュ","かぶ","stocks, stump, shares, stock, counter for small plants","1","小学6年"
"433","頭","ト, ズ, トウ","かぶり, -がしら, かしら, あたま","head, counter for large animals","3","小学2年"
"434","技","ギ","わざ","skill, art, craft, ability, feat, performance, vocation, arts","2","小学5年"
"435","低","テイ","ひく.まる, ひく.める, ひく.い","lower, short, humble","3","小学4年"
"436","毎","マイ","-ごと.に, ごと","every","5","小学2年"
"437","医","イ","くすし, い.する, い.やす","doctor, medicine","4","小学3年"
"438","復","フク","また","restore, return to, revert, resume","2","小学5年"
"439","仕","ジ, シ","つか.える","attend, doing, official, serve","4","小学3年"
"440","去","コ, キョ","-さ.る, さ.る","gone, past, quit, leave, elapse, eliminate, divorce","4","小学3年"
"441","姿","シ","すがた","figure, form, shape","1","小学6年"
"442","味","ミ","あじ.わう, あじ","flavor, taste","4","小学3年"
"443","負","フ","お.う, ま.かす, ま.ける","defeat, negative, -, minus, bear, owe, assume a responsibility","3","小学3年"
"444","閣","カク","","tower, tall building, palace","1","小学6年"
"445","韓","カン","いげた, から","Korea","0","高等学校"
"446","渡","ト","わた.す, -わた.る, わた.る","transit, ford, ferry, cross, import, deliver, diameter, migrate","2","中学1年"
"447","失","シツ","う.せる, うしな.う","lose, error, fault, disadvantage, loss","2","小学4年"
"448","移","イ","うつ.す, うつ.る","shift, move, change, drift, catch (cold, fire); pass into","2","小学5年"
"449","差","サ","さ.し, さ.す","distinction, difference, variation, discrepancy, margin, balance","2","小学4年"
"450","衆","シュ, シュウ","おお.い","masses, great numbers, multitude, populace","1","小学6年"
